model,rmse,mae,r2,nasa_score
CNN-LSTM,12.877185821166501,9.597624778747559,0.8967399597167969,292.60308837890625
GRU,13.260777534714746,9.630173683166504,0.8904964327812195,324.8523864746094
LSTM,13.435192389067229,10.44534683227539,0.8875969648361206,284.7279052734375
Attention-LSTM,13.812561311197353,10.091869354248047,0.8811938762664795,405.5162353515625
Hybrid XGBoost-LSTM-Att. (Proposed),17.01786493808143,12.59199333190918,0.819656491279602,623.0150756835938
CNN-LSTM-Attention (Proposed),17.82625650950244,13.056013107299805,0.8021160364151001,741.7400512695312
