model,accuracy,f1,auc
Random Forest,0.9445,0.5066666666666667,0.9734121909633418
XGBoost,0.9705,0.6467065868263473,0.9708698696870053
BiLSTM,0.891,0.3588235294117647,0.9555474363658507
Logistic Regression,0.822,0.23931623931623933,0.9083774814273535
Hybrid XGBoost-LSTM (Proposed),0.976,0.6923076923076923,0.9069616977225673
